t,MV,MVP,MVI,MVD,SP,PV,DV,Man
4.800000000000000000e+01,5.000000000000000000e+01,9.106126962933895186e+01,-4.106126960914083668e+01,-2.019811637279574753e-08,6.500000000000000000e+01,3.871999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.000000000000000000e+01,9.026431026804716851e+01,-4.026431025017960508e+01,-1.786756458678810095e-08,6.500000000000000000e+01,3.895000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,8.870504195247630719e+01,-3.870504191751803091e+01,-3.495827829666869433e-08,6.500000000000000000e+01,3.939999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,8.804668421923526012e+01,-3.804668420447509902e+01,-1.476016225479143452e-08,6.500000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,8.738832648599422726e+01,-3.738832647123406616e+01,-1.476016202837335365e-08,6.500000000000000000e+01,3.978000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,8.693787119482932724e+01,-3.693787118473026965e+01,-1.009905828218963048e-08,6.500000000000000000e+01,3.990999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,8.582905817042336594e+01,-3.582905814556414725e+01,-2.485922009285436402e-08,6.500000000000000000e+01,4.022999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,8.468559473900471346e+01,-3.468559471336864419e+01,-2.563607088267765329e-08,6.500000000000000000e+01,4.056000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,5.000000000000000000e+01,8.413118822680173992e+01,-3.413118821437213057e+01,-1.242961027719862512e-08,6.500000000000000000e+01,4.071999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,8.347283049356072127e+01,-3.347283047880056017e+01,-1.476016200224825359e-08,6.500000000000000000e+01,4.090999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,8.246796869019280507e+01,-3.246796866766413814e+01,-2.252866827201325511e-08,6.500000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,5.000000000000000000e+01,8.135915566578684377e+01,-3.135915564092762509e+01,-2.485922023218822989e-08,6.500000000000000000e+01,4.152000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,5.000000000000000000e+01,8.090870037462194375e+01,-3.090870036452288616e+01,-1.009905839539839630e-08,6.500000000000000000e+01,4.164999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,5.000000000000000000e+01,8.011174101333014619e+01,-3.011174099546258276e+01,-1.786756447357933845e-08,6.500000000000000000e+01,4.188000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,5.000000000000000000e+01,7.910687920996225841e+01,-2.910687918743359148e+01,-2.252866830684617150e-08,6.500000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,5.000000000000000000e+01,7.799806618555629711e+01,-2.799806616069707843e+01,-2.485922023218822989e-08,6.500000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,5.000000000000000000e+01,7.733970845231527846e+01,-2.733970843755511737e+01,-1.476016214158211781e-08,6.500000000000000000e+01,4.267999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,5.000000000000000000e+01,7.688925316115035002e+01,-2.688925315105129243e+01,-1.009905828219018304e-08,6.500000000000000000e+01,4.281000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,5.000000000000000000e+01,7.588439135778246225e+01,-2.588439133525379532e+01,-2.252866821976250575e-08,6.500000000000000000e+01,4.310000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,5.000000000000000000e+01,7.543393606661754802e+01,-2.543393605651849043e+01,-1.009905836927329458e-08,6.500000000000000000e+01,4.322999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,5.000000000000000000e+01,7.463697670532576467e+01,-2.463697668745820124e+01,-1.786756447357933845e-08,6.500000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,5.000000000000000000e+01,7.352816368091980337e+01,-2.352816365606058469e+01,-2.485922017993802978e-08,6.500000000000000000e+01,4.378000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
