t,MV,MVP,MVI,MVD,SP,PV,DV,Man
3.100000000000000000e+01,5.000000000000000000e+01,1.155244569802953265e+02,-6.552445696320461366e+01,-1.709071393629868087e-08,6.500000000000000000e+01,3.166000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.148314488400415883e+02,-6.483144882450457658e+01,-1.553701267886277373e-08,6.500000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.137226358156356412e+02,-6.372263579077642248e+01,-2.485922015381293303e-08,6.500000000000000000e+01,3.217999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.126138227912296799e+02,-6.261382276637046118e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,1.116089609878617921e+02,-6.160896096533312516e+01,-2.252866838522147499e-08,6.500000000000000000e+01,3.278999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,1.109506032546207592e+02,-6.095060323986059814e+01,-1.476016211545701775e-08,6.500000000000000000e+01,3.297999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,1.099457414512528430e+02,-5.994574142872417610e+01,-2.252866827201325842e-08,6.500000000000000000e+01,3.327000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,1.090448308689230146e+02,-5.904483084872489940e+01,-2.019811648600451004e-08,6.500000000000000000e+01,3.353000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,1.081439202865931861e+02,-5.814392026639507094e+01,-2.019811645987941329e-08,6.500000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,1.070351072621872248e+02,-5.703510723732800614e+01,-2.485922020606313314e-08,6.500000000000000000e+01,3.410999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,1.059262942377812777e+02,-5.592629421292205905e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.442999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,1.051293348764895086e+02,-5.512933485862194516e+01,-1.786756463903775182e-08,6.500000000000000000e+01,3.465999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,1.045749283642865208e+02,-5.457492835185691149e+01,-1.242961019011551026e-08,6.500000000000000000e+01,3.482000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,1.033621641188425002e+02,-5.336216409165272978e+01,-2.718977199207132566e-08,6.500000000000000000e+01,3.517000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,1.025652047575507311e+02,-5.256520473968316765e+01,-1.786756466516284857e-08,6.500000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,1.014563917331447698e+02,-5.145639170828555109e+01,-2.485922017993803309e-08,6.500000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,1.003475787087388227e+02,-5.034757868387960400e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,5.000000000000000000e+01,9.920411527732018442e+01,-4.920411525168411515e+01,-2.563607088267710404e-08,6.500000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.000000000000000000e+01,9.809530225291423733e+01,-4.809530222805501865e+01,-2.485922026702169884e-08,6.500000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,9.698648922850827603e+01,-4.698648920364905734e+01,-2.485922025831333326e-08,6.500000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,9.698648922850827603e+01,-4.698648922850827603e+01,-2.786677335680449565e-16,6.500000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,9.587767620410231473e+01,-4.587767617924309604e+01,-2.485921997964560151e-08,6.500000000000000000e+01,3.732999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,9.473421277268369067e+01,-4.473421274704762141e+01,-2.563607088267710073e-08,6.500000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,9.442235910956949851e+01,-4.442235910257784326e+01,-6.991655906651683729e-09,6.500000000000000000e+01,3.775000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,9.362539974827772937e+01,-4.362539973041016594e+01,-1.786756443874532025e-08,6.500000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,5.000000000000000000e+01,9.251658672387178228e+01,-4.251658669901256360e+01,-2.485922017993802978e-08,6.500000000000000000e+01,3.829999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,9.171962736257998472e+01,-4.171962734471242129e+01,-1.786756463903830107e-08,6.500000000000000000e+01,3.853000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,9.095731840830089254e+01,-4.095731839121017970e+01,-1.709071393629868087e-08,6.500000000000000000e+01,3.875000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,5.000000000000000000e+01,9.026431026804716851e+01,-4.026431025251015683e+01,-1.553701267886277373e-08,6.500000000000000000e+01,3.895000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,5.000000000000000000e+01,8.915549724364120721e+01,-3.915549721878198852e+01,-2.485922015381293303e-08,6.500000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,5.000000000000000000e+01,8.804668421923526012e+01,-3.804668419437604143e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,5.000000000000000000e+01,8.704182241586735813e+01,-3.704182239333869120e+01,-2.252866838522147499e-08,6.500000000000000000e+01,3.988000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,5.000000000000000000e+01,8.659136712470245811e+01,-3.659136711460340052e+01,-1.009905836927329624e-08,6.500000000000000000e+01,4.000999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,5.000000000000000000e+01,8.582905817042336594e+01,-3.582905815333265309e+01,-1.709071384921501511e-08,6.500000000000000000e+01,4.022999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,5.000000000000000000e+01,8.468559473900471346e+01,-3.468559471336864419e+01,-2.563607079559398753e-08,6.500000000000000000e+01,4.056000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,5.000000000000000000e+01,8.357678171459875216e+01,-3.357678168973953348e+01,-2.485922026702169884e-08,6.500000000000000000e+01,4.088000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,5.000000000000000000e+01,8.246796869019280507e+01,-3.246796866533358639e+01,-2.485922025831333326e-08,6.500000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,5.000000000000000000e+01,8.201751339902790505e+01,-3.201751338892884746e+01,-1.009905839539839630e-08,6.500000000000000000e+01,4.132999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,5.000000000000000000e+01,8.135915566578684377e+01,-3.135915565102668268e+01,-1.476016197612370609e-08,6.500000000000000000e+01,4.152000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,5.000000000000000000e+01,8.021569223436821972e+01,-3.021569220873215045e+01,-2.563607076946833491e-08,6.500000000000000000e+01,4.185000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,5.000000000000000000e+01,7.910687920996225841e+01,-2.910687918510303973e+01,-2.485922026702169553e-08,6.500000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,5.000000000000000000e+01,7.799806618555629711e+01,-2.799806616069707843e+01,-2.485922025831333326e-08,6.500000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,5.000000000000000000e+01,7.765156211542944220e+01,-2.765156210766093636e+01,-7.768506522307087270e-09,6.500000000000000000e+01,4.259000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,5.000000000000000000e+01,7.688925316115035002e+01,-2.688925314405963718e+01,-1.709071382308991505e-08,6.500000000000000000e+01,4.281000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,5.000000000000000000e+01,7.588439135778246225e+01,-2.588439133525379532e+01,-2.252866829813780592e-08,6.500000000000000000e+01,4.310000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.600000000000000000e+01,5.000000000000000000e+01,7.553788728765559313e+01,-2.553788727988708729e+01,-7.768506496181987212e-09,6.500000000000000000e+01,4.320000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.700000000000000000e+01,5.000000000000000000e+01,7.463697670532576467e+01,-2.463697668512764949e+01,-2.019811632054554741e-08,6.500000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,5.000000000000000000e+01,7.352816368091980337e+01,-2.352816365606058469e+01,-2.485922020606312983e-08,6.500000000000000000e+01,4.378000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
