t,MV,MVP,MVI,MVD,SP,PV,DV,Man
2.600000000000000000e+01,5.000000000000000000e+01,1.181925383202721349e+02,-6.819253830240457148e+01,-1.786756447357933845e-08,6.500000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372527100695493e+01,-2.485922017993802978e-08,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.166332700047012452e+02,-6.663326999460218758e+01,-1.009905839539894885e-08,6.500000000000000000e+01,3.133999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.159749122714602265e+02,-6.597491225670006543e+01,-1.476016197612315353e-08,6.500000000000000000e+01,3.153000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.148314488400415883e+02,-6.483144881440551899e+01,-2.563607076946833491e-08,6.500000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,1.138265870366737005e+02,-6.382658701414503355e+01,-2.252866839392983726e-08,6.500000000000000000e+01,3.214999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.134107821525214490e+02,-6.341078214319924200e+01,-9.322207744910078016e-09,6.500000000000000000e+01,3.227000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.126138227912296799e+02,-6.261382277336211644e+01,-1.786756446487041700e-08,6.500000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.115050097668237186e+02,-6.150500974196449988e+01,-2.485922017993802978e-08,6.500000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,1.108120016265699945e+02,-6.081200161103298285e+01,-1.553701276594643949e-08,6.500000000000000000e+01,3.302000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,1.102575951143670352e+02,-6.025759510193742585e+01,-1.242961016398985930e-08,6.500000000000000000e+01,3.317999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,1.092527333109991332e+02,-5.925273328847046628e+01,-2.252866824588760580e-08,6.500000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,1.081439202865931861e+02,-5.814392026173396744e+01,-2.485922023218822989e-08,6.500000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,1.070351072621872248e+02,-5.703510723732800614e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.410999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,1.061341966798573964e+02,-5.613419665965928118e+01,-2.019811651212961340e-08,6.500000000000000000e+01,3.436999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,1.057876926097305272e+02,-5.578769260196202140e+01,-7.768506470056887154e-09,6.500000000000000000e+01,3.446999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,1.047828308063626395e+02,-5.478283078383397253e+01,-2.252866819363740900e-08,6.500000000000000000e+01,3.475999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,1.036740177819566782e+02,-5.367401775709745948e+01,-2.485922023218822989e-08,6.500000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,1.025652047575507311e+02,-5.256520473269151239e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,1.016642941752209026e+02,-5.166429415502278744e+01,-2.019811651212961340e-08,6.500000000000000000e+01,3.565999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,1.012138388840559742e+02,-5.121383887395691659e+01,-1.009905834314874874e-08,6.500000000000000000e+01,3.578999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,1.003475787087388227e+02,-5.034757868931755809e+01,-1.942126572230687669e-08,6.500000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
